Occupational Interest,Job Zone,Code,Occupation
29,5,19-1013.00,Soil and Plant Scientists
29,4,27-3042.00,Technical Writers
28,1-2,49-3021.00,Automotive Body and Related Repairers
28,4,19-3092.00,Geographers
28,4,15-1212.00,Information Security Analysts
28,1-2,53-4013.00,"Rail Yard Engineers, Dinkey Operators, and Hostlers"
27,5,25-1051.00,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary"
27,1-2,47-2031.00,Carpenters
27,4,11-3021.00,Computer and Information Systems Managers
27,4,15-1251.00,Computer Programmers
27,3,15-1232.00,Computer User Support Specialists
27,1-2,47-5041.00,Continuous Mining Machine Operators
27,3,53-7021.00,Crane and Tower Operators
27,1-2,39-3021.00,Motion Picture Projectionists
27,3,29-2099.01,Neurodiagnostic Technologists
27,5,29-1224.00,Radiologists
27,1-2,49-9045.00,"Refractory Materials Repairers, Except Brickmasons"
27,1-2,47-5043.00,"Roof Bolters, Mining"
26,5,25-1052.00,"Chemistry Teachers, Postsecondary"
26,4,19-1031.00,Conservation Scientists
26,3,29-2032.00,Diagnostic Medical Sonographers
26,1-2,51-9194.00,Etchers and Engravers
26,1-2,51-4021.00,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic"
26,1-2,51-2051.00,Fiberglass Laminators and Fabricators
26,3,33-2021.00,Fire Inspectors and Investigators
26,1-2,51-9195.04,"Glass Blowers, Molders, Benders, and Finishers"
26,1-2,47-5044.00,"Loading and Moving Machine Operators, Underground Mining"
26,1-2,49-9095.00,Manufactured Building and Mobile Home Installers
26,3,29-2012.00,Medical and Clinical Laboratory Technicians
26,4,27-1014.00,Special Effects Artists and Animators
25,1-2,45-2091.00,Agricultural Equipment Operators
25,3,19-4012.00,Agricultural Technicians
25,4,25-2032.00,"Career/Technical Education Teachers, Secondary School"
25,4,15-1299.06,Digital Forensics Analysts
25,3,33-2011.00,Firefighters
25,1-2,47-3015.00,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters"
25,4,29-2011.00,Medical and Clinical Laboratory Technologists
25,5,29-1242.00,"Orthopedic Surgeons, Except Pediatric"
25,1-2,53-4022.00,"Railroad Brake, Signal, and Switch Operators and Locomotive Firers"
